symbol,frequency,open,high,low,close,volume,amount,pre_close,position,bob,eob
SHSE.000852,1d,5350.29,5423.189,5350.29,5406.04,16747810816,146173112320.0,5317.31,0,2019-06-21 00:00:00+08:00,2019-06-21 00:00:00+08:00
SZSE.399303,1d,6112.518,6123.344,6071.408,6104.279,19099824128,171016642560.0,6108.138,0,2019-06-24 00:00:00+08:00,2019-06-24 00:00:00+08:00
SHSE.000905,1d,5032.374,5038.479,4996.169,5024.204,9962015744,86442217472.0,5021.305,0,2019-06-24 00:00:00+08:00,2019-06-24 00:00:00+08:00
SHSE.000985,1d,4286.572,4296.97,4267.021,4286.137,46737173454,471681375077.0,4282.068,0,2019-06-24 00:00:00+08:00,2019-06-24 00:00:00+08:00
SHSE.000852,1d,5412.552,5427.667,5374.521,5403.798,13085816576,117397618688.0,5406.04,0,2019-06-24 00:00:00+08:00,2019-06-24 00:00:00+08:00
SHSE.000300,1d,3836.305,3853.545,3819.769,3841.265,10008462080,143644733440.0,3833.938,0,2019-06-24 00:00:00+08:00,2019-06-24 00:00:00+08:00
SZSE.399303,1d,6094.563,6094.563,5976.588,6043.919,19139102976,168410599424.0,6104.279,0,2019-06-25 00:00:00+08:00,2019-06-25 00:00:00+08:00
SHSE.000985,1d,4281.629,4281.629,4192.338,4242.499,49099569068,491405844674.0,4286.137,0,2019-06-25 00:00:00+08:00,2019-06-25 00:00:00+08:00
SHSE.000852,1d,5397.059,5397.059,5289.841,5351.689,13454471936,118982418432.0,5403.798,0,2019-06-25 00:00:00+08:00,2019-06-25 00:00:00+08:00
SHSE.000300,1d,3837.425,3838.057,3755.009,3801.309,12407591168,169358794752.0,3841.265,0,2019-06-25 00:00:00+08:00,2019-06-25 00:00:00+08:00
SHSE.000905,1d,5020.2,5020.2,4910.197,4974.988,9920218112,85713850368.0,5024.204,0,2019-06-25 00:00:00+08:00,2019-06-25 00:00:00+08:00
SZSE.399303,1d,6011.652,6074.602,5987.973,6036.101,15649847808,140431376384.0,6043.919,0,2019-06-26 00:00:00+08:00,2019-06-26 00:00:00+08:00
SHSE.000985,1d,4218.289,4256.641,4207.218,4235.801,36812080869,372384270952.0,4242.499,0,2019-06-26 00:00:00+08:00,2019-06-26 00:00:00+08:00
SHSE.000300,1d,3779.512,3809.758,3771.716,3794.331,8182028288,112106860544.0,3801.309,0,2019-06-26 00:00:00+08:00,2019-06-26 00:00:00+08:00
SHSE.000852,1d,5323.697,5384.055,5303.236,5351.391,10768663040,98629320704.0,5351.689,0,2019-06-26 00:00:00+08:00,2019-06-26 00:00:00+08:00
